setGroup,order,q,enabled,assertType,expected
"VB_032","1","เบิกเงินกู้ในแอปแล้วบัญชีเงินฝากยังไม่เข้า","TRUE","",""
"VB_032","2","เบิกเมื่อวานค่ะ","TRUE","",""
"VB_032","3","พนักงานจะตรวจสอบเสร็จเมื่อไหร่คะ ต้องรอนานกี่ชั่วโมง?","TRUE","",""
"VB_032","4","ถ้ารอนานแบบนี้ขอยกเลิกเงินกู้ตัวนี้เลยได้ไหมคะ ไปกู้ที่อื่นน่าจะเร็วกว่า","TRUE","",""
"VB_032_Ensure","1","เบิกเงินกู้ในแอปแล้วบัญชีเงินฝากยังไม่เข้า","TRUE","",""
"VB_032_Ensure","2","เบิกเมื่อวานค่ะ","TRUE","",""
"VB_032_Ensure","3","พนักงานจะตรวจสอบเสร็จเมื่อไหร่คะ ต้องรอนานกี่ชั่วโมง?","TRUE","",""
"VB_032_Ensure","4","ถ้ารอนานแบบนี้ขอยกเลิกเงินกู้ตัวนี้เลยได้ไหมคะ ไปกู้ที่อื่นน่าจะเร็วกว่า","TRUE","",""
"VB_032_Ensure","5","ดูเวอชันแอพตรงไหน","TRUE","",""
"VB_062","1","เปลี่ยนวันจ่ายค่างวด","TRUE","",""
"VB_062","2","อยากเปลี่ยนวันครบกำหนดชำระได้ไหม","TRUE","",""
"VB_062","3","ขอเลื่อนวันชำระค่างวดหน่อย","TRUE","",""
"VB_062","4","อยากเปลี่ยนวันจ่ายบิลในระบบ","TRUE","",""
"VB_062_Ensure","1","เปลี่ยนวันจ่ายค่างวด","TRUE","",""
"VB_062_Ensure","2","อยากเปลี่ยนวันครบกำหนดชำระได้ไหม","TRUE","",""
"VB_062_Ensure","3","ขอเลื่อนวันชำระค่างวดหน่อย","TRUE","",""
"VB_062_Ensure","4","ช่องทางการยืนยันตัวตนมีที่ไหนบ้างคะ","TRUE","",""
"VB_062_Ensure","5","ช่องทางการยืนยันตัวตนมีที่ไหนบ้างคะ","TRUE","",""
"VB_062_Ensure2","1","เปลี่ยนวันจ่ายค่างวด","TRUE","",""
"VB_062_Ensure2","2","อยากเปลี่ยนวันครบกำหนดชำระได้ไหม","TRUE","",""
"VB_062_Ensure2","3","ขอเลื่อนวันชำระค่างวดหน่อย","TRUE","",""
"VB_062_Ensure2","4","ขอเอกสารผ่านแอป","TRUE","",""
"VB_062_Ensure2","5","ขอเอกสารผ่านแอป","TRUE","",""
"VB_062_Ensure2","6","ขอเอกสารบัญชีเงินฝาก","TRUE","",""
"VB_062_Ensure2","7","ขอหน้าสมุดบัญชี","TRUE","",""
"VB_062_Ensure2","8","ขอเอกสารสินเชื่อ","TRUE","",""
"VB_062_Ensure2","9","สถานะบัญชีสินเชื่อขึ้นว่ายกเลิกหมายความว่าอะไร","TRUE","",""
"VB_062_Ensure2","10","สถานะบัญชีสินเชื่อขึ้นว่ายกเลิกหมายความว่าอะไร","TRUE","",""
"VB_094(Lending)","1","ไม่ได้รับ Statement สินเชื่อ","TRUE","",""
"VB_094(Lending)","2","ไม่ได้รับใบแจ้งยอดสินเชื่อ","TRUE","",""
"VB_094(Lending)","3","หาใบแจ้งยอดสินเชื่อไม่เจอในแอป","TRUE","",""
"VB_094(Lending)_Ensure","1","ไม่ได้รับ Statement สินเชื่อ","TRUE","",""
"VB_094(Lending)_Ensure","2","ไม่ได้รับใบแจ้งยอดสินเชื่อ","TRUE","",""
"VB_094(Lending)_Ensure","3","หาใบแจ้งยอดสินเชื่อไม่เจอในแอป","TRUE","",""
"VB_094(Lending)_Ensure","4","เข้าแอปไม่ได้","TRUE","",""
"VB_095(Lending)","1","ไม่ได้ใบเสร็จตอนเบิกวงเงิน ทำไงได้บ้างคัฟ","TRUE","",""
"VB_095(Lending)","2","เช้คแล้วมประวัติทำรายการงะ","TRUE","",""
"VB_095(Lending)","3","จริงๆ อยากลองกดขอเองก่อนค่ะ ต้องเข้าเมนูไหนถึงจะขอ E-Receipt ใหม่ได้คะ?","TRUE","",""
"VB_095(Lending)","4","อันนี้มันเป็นใบแจ้งยอดรายเดือนหรือเปล่าคะ? อยากได้สลิปที่โอนเงินเมื่อกี้ค่ะ","TRUE","",""
"VB_095(Lending)_Ensure","1","ไม่ได้ใบเสร็จตอนเบิกวงเงิน ทำไงได้บ้างคัฟ","TRUE","",""
"VB_095(Lending)_Ensure","2","เช้คแล้วมประวัติทำรายการงะ","TRUE","",""
"VB_095(Lending)_Ensure","3","จริงๆ อยากลองกดขอเองก่อนค่ะ ต้องเข้าเมนูไหนถึงจะขอ E-Receipt ใหม่ได้คะ?","TRUE","",""
"VB_095(Lending)_Ensure","4","อันนี้มันเป็นใบแจ้งยอดรายเดือนหรือเปล่าคะ? อยากได้สลิปที่โอนเงินเมื่อกี้ค่ะ","TRUE","",""
"VB_095(Lending)_Ensure","5","ทำไมพนักงานถามข้อมูลเยอะ","TRUE","",""
"VB_096(Lending)","1","ไม่ได้รับสัญญาสินเชื่อ","TRUE","",""
"VB_096(Lending)","2","ทำสัญญาสินเชื่อหาย","TRUE","",""
"VB_096(Lending)","3","หาเอกสารสัญญาสินเชื่อ ไม่เจอต้องการขอใหม่","TRUE","",""
"VB_096(Lending)_Ensure","1","ไม่ได้รับสัญญาสินเชื่อ","TRUE","",""
"VB_096(Lending)_Ensure","2","ทำสัญญาสินเชื่อหาย","TRUE","",""
"VB_096(Lending)_Ensure","3","หาเอกสารสัญญาสินเชื่อ ไม่เจอต้องการขอใหม่","TRUE","",""
"VB_096(Lending)_Ensure","4","ต้องการข้อมูลบัญชีออมทรัพย์แต่ละประเภท","TRUE","",""
"VB_097(Lending)","1","ไม่ได้รับ NCB E-consent Slip บัญชีสินเชื่อ","TRUE","",""
"VB_097(Lending)","2","ไม่ได้รับ NCB Letter บัญชีสินเชื่อ","TRUE","",""
"VB_097(Lending)","3","ไม่ได้รับเอกสารยินยอมตรวจสอบเครดิตบูโร","TRUE","",""
"VB_097(Lending)_Ensure","1","ไม่ได้รับ NCB E-consent Slip บัญชีสินเชื่อ","TRUE","",""
"VB_097(Lending)_Ensure","2","ไม่ได้รับ NCB Letter บัญชีสินเชื่อ","TRUE","",""
"VB_097(Lending)_Ensure","3","ไม่ได้รับเอกสารยินยอมตรวจสอบเครดิตบูโร","TRUE","",""
"VB_097(Lending)_Ensure","4","ไม่อยากรับการแจ้งเตือน","TRUE","",""
"VB_118","1","ดูเวอชันแอพตรงไหน","TRUE","",""
"VB_118","2","อยากรู้วิธีอัปเดตเวอร์ชันซอฟต์แวร์","TRUE","",""
"VB_118","3","ไม่ใช่ค่ะ หมายถึงจะอัปเดตตัวแอป CLICX ให้เป็นเวอร์ชันล่าสุด ต้องไปกดตรงไหนในแอปหรือเปล่า?","TRUE","",""
"VB_118","4","แอปพลิเคชัน CLICX ใช้งานกับโทรศัพท์มือถือหรือแท็บเล็ตที่ซื้อมาจากต่างประเทศได้หรือไม่","TRUE","",""
"VB_118_Ensure","1","ดูเวอชันแอพตรงไหน","TRUE","",""
"VB_118_Ensure","2","อยากรู้วิธีอัปเดตเวอร์ชันซอฟต์แวร์","TRUE","",""
"VB_118_Ensure","3","แอปพลิเคชัน CLICX ใช้งานกับโทรศัพท์มือถือหรือแท็บเล็ตที่ซื้อมาจากต่างประเทศได้หรือไม่","TRUE","",""
"VB_118_Ensure","4","เบิกเงินกู้ในแอปแล้วบัญชีเงินฝากยังไม่เข้า","TRUE","",""
"VB_118_Ensure","5","เบิกเงินกู้ในแอปแล้วบัญชีเงินฝากยังไม่เข้า","TRUE","",""
"VB_119","1","เข้าแอปไม่ได้","TRUE","",""
"VB_119","2","แอปเป็นไรรึป่าว","TRUE","",""
"VB_119","3","เช็คเน็ตแล้วปกติ","TRUE","",""
"VB_119","4","ลองทำแล้วก็ยังไม่ได้","TRUE","",""
"VB_119","5","โอเค","TRUE","",""
"VB_119_Ensure","1","เข้าแอปไม่ได้","TRUE","",""
"VB_119_Ensure","2","แอปเป็นไรรึป่าว","TRUE","",""
"VB_119_Ensure","3","เช็คเน็ตแล้วปกติ","TRUE","",""
"VB_119_Ensure","4","ลองทำแล้วก็ยังไม่ได้","TRUE","",""
"VB_119_Ensure","5","โอเค","TRUE","",""
"VB_119_Ensure","6","ไม่ได้รับ Statement สินเชื่อ","TRUE","",""
"VB_119_Ensure","7","ไม่ได้รับ Statement สินเชื่อ","TRUE","",""
"VB_130","1","ทำไมพนักงานถามข้อมูลเยอะ","TRUE","",""
"VB_130","2","ทำไมคอลเซ็นเตอร์ต้องตรวจสอบตัวตนก่อนให้ข้อมูล","TRUE","",""
"VB_130","3","ทำไมต้องยืนยันตัวตนก่อนคุยกับเจ้าหน้าที่ทุกครั้ง","TRUE","",""
"VB_130","4","ไม่ได้ใบเสร็จตอนเบิกวงเงิน ทำไงได้บ้างคัฟ","TRUE","",""
"VB_130_Ensure","1","ทำไมพนักงานถามข้อมูลเยอะ","TRUE","",""
"VB_130_Ensure","2","ทำไมคอลเซ็นเตอร์ต้องตรวจสอบตัวตนก่อนให้ข้อมูล","TRUE","",""
"VB_130_Ensure","3","ทำไมต้องยืนยันตัวตนก่อนคุยกับเจ้าหน้าที่ทุกครั้ง","TRUE","",""
"VB_130_Ensure","4","ช่องทางการยืนยันตัวตนมีที่ไหนบ้างคะ","TRUE","",""
"VB_130_Ensure","5","ช่องทางการยืนยันตัวตนมีที่ไหนบ้างคะ","TRUE","",""
"VB_132","1","ต้องการข้อมูลบัญชีออมทรัพย์แต่ละประเภท","TRUE","",""
"VB_132","2","ต้องการข้อมูลอัตราดอกเบี้ยของบัญชีออมทรัพย์แต่ละประเภท","TRUE","",""
"VB_132","3","ต้องการรายละเอียดเกี่ยวกับสินเชื่อส่วนบุคคล","TRUE","",""
"VB_132_Ensure","1","ต้องการข้อมูลบัญชีออมทรัพย์แต่ละประเภท","TRUE","",""
"VB_132_Ensure","2","ต้องการข้อมูลอัตราดอกเบี้ยของบัญชีออมทรัพย์แต่ละประเภท","TRUE","",""
"VB_132_Ensure","3","ต้องการรายละเอียดเกี่ยวกับสินเชื่อส่วนบุคคล","TRUE","",""
"VB_132_Ensure","4","ไม่ได้รับสัญญาสินเชื่อ","TRUE","",""
"VB_132_Ensure","5","ไม่ได้รับสัญญาสินเชื่อ","TRUE","",""
"VB_133_Ensure","1","บริการ QR Code รับเงินคืออะไร","TRUE","",""
"VB_133_Ensure","2","QR รับเงินที่ไม่ต้องผูกพร้อมเพย์คืออะไร","TRUE","",""
"VB_133_Ensure","3","ขอ OTP ไป ไม่ได้รับ SMS","TRUE","",""
"VB_133_Ensure","4","ขอ OTP ไป ไม่ได้รับ SMS","TRUE","",""
"VB_133_Ensure","5","ตรวจสอบเบอร์ที่ลงทะเบียน","TRUE","",""
"VB_133_Ensure","6","QR รับเงินแตกต่างจาก QR พร้อมเพย์อย่างไร","TRUE","",""
"VB_133_Ensure","7","QR รับเงินแตกต่างจาก QR พร้อมเพย์อย่างไร","TRUE","",""
"VB_134_Ensure","1","ตรวจสอบ E-Slip","TRUE","",""
"VB_134_Ensure","2","ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_134_Ensure","3","อะไรคือ ndid","TRUE","",""
"VB_134_Ensure","4","อะไรคือ ndid","TRUE","",""
"VB_134_Ensure","5","ต้องยืนยันยังไง","TRUE","",""
"VB_134_Ensure","6","ตรวจสอบ E-Slip ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_134_Ensure","7","ตรวจสอบ E-Slip ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_134_Ensure2","1","ตรวจสอบ E-Slip","TRUE","",""
"VB_134_Ensure2","2","ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_134_Ensure2","3","ตรวจสอบ E-Slip ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_134_Ensure2","4","อะไรคือ ndid","TRUE","",""
"VB_134_Ensure2","5","อะไรคือ ndid","TRUE","",""
"VB_134_Ensure2","6","อะไรคือ ndid","TRUE","",""
"VB_134_Ensure2","7","ต้องยืนยันยังไง","TRUE","",""
"VB_134_Ensure2","8","ตรวจสอบ E-Slip ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_134_Ensure2","9","ตรวจสอบ E-Slip ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_134_Ensure2","10","ตรวจสอบ E-Slip ย้อนหลังเกิน 90 วันได้ไหม","TRUE","",""
"VB_140","1","ไม่อยากรับการแจ้งเตือน","TRUE","",""
"VB_140","2","อยากปิดแค่อีเมล แต่ให้เด้งบนหน้าจอมือถือเหมือนเดิมได้ไหม?","TRUE","",""
"VB_140","3","แล้วถ้าฉันไม่อยากให้เมลเต็ม แต่ยังอยากรู้เวลาเงินเข้า ควรตั้งค่ายังไงดี?","TRUE","",""
"VB_140","4","ทำไมถึงทำแยกไม่ได้ล่ะคะ มันเป็นเพราะเรื่องความปลอดภัยหรือเปล่า?","TRUE","",""
"VB_140_Ensure","1","ไม่อยากรับการแจ้งเตือน","TRUE","",""
"VB_140_Ensure","2","อยากปิดแค่อีเมล แต่ให้เด้งบนหน้าจอมือถือเหมือนเดิมได้ไหม?","TRUE","",""
"VB_140_Ensure","3","แล้วถ้าฉันไม่อยากให้เมลเต็ม แต่ยังอยากรู้เวลาเงินเข้า ควรตั้งค่ายังไงดี?","TRUE","",""
"VB_140_Ensure","4","ทำไมถึงทำแยกไม่ได้ล่ะคะ มันเป็นเพราะเรื่องความปลอดภัยหรือเปล่า?","TRUE","",""
"VB_140_Ensure","5","ไม่ได้รับ NCB E-consent Slip บัญชีสินเชื่อ","TRUE","",""
"VB_140_Ensure","6","ไม่ได้รับ NCB E-consent Slip บัญชีสินเชื่อ","TRUE","",""
